FECHA Y HORA,Presión atmosférica (mmHg),Temperatura Ambiente (Celsius),Velocidad del Viento (m/s),Dirección del viento (°),Humedad Relativa (%),Radiación Solar (W/m²),Precipitación (mm),NO2 (µg/m³),NO (µg/m³),NOX (µg/m³),CO (µg/m³),O3 (µg/m³),SO2 (µg/m³),TRS (µg/m³),PM10 (µg/m³),PM2.5 (µg/m³)
01/01/2024 12:00:00 AM,696.291,24.086,1.142,181.289,83.83,0,0,NA,NA,NA,NA,12.002,NA,3.572,34.214,22.552
01/01/2024 01:00:00 AM,696.132,23.734,1.42,121.161,82.638,0,0,NA,NA,NA,NA,12.026,NA,-999,58.092,45.076
01/01/2024 02:00:00 AM,695.799,23.169,1.592,68.523,86.201,0,0,NA,NA,NA,NA,10.988,NA,0.897,43.862,31.956
01/01/2024 03:00:00 AM,695.3,23.281,1.368,126.128,80.681,0,0,NA,NA,NA,NA,-999,NA,-999,26.767,18.866
01/01/2024 04:00:00 AM,694.951,22.887,2.341,152.432,75.516,0,0,NA,NA,NA,NA,11.431,NA,-999,15.322,9.279
01/01/2024 05:00:00 AM,695.139,22.394,1.868,156.524,74.926,0,0,NA,NA,NA,NA,10.724,NA,-999,14.128,8.248
01/01/2024 06:00:00 AM,695.573,22.088,1.914,181.05,75.209,0,0,NA,NA,NA,NA,-999,NA,-999,13.028,7.574
01/01/2024 07:00:00 AM,695.858,22.021,1.99,167.576,73.858,14.403,0,NA,NA,NA,NA,11.14,NA,-999,12.503,6.899
01/01/2024 08:00:00 AM,696.445,22.854,1.871,184.837,70.677,127.777,0,NA,NA,NA,NA,10.212,NA,-999,12.897,6.865
01/01/2024 09:00:00 AM,696.629,26.167,0.963,184.208,64.742,331.76,0,NA,NA,NA,NA,18.338,NA,-999,16.714,10.214
01/01/2024 10:00:00 AM,696.556,27.142,1.622,61.414,67.201,515.17,0,NA,NA,NA,NA,37.762,NA,-999,21.345,14.188
01/01/2024 11:00:00 AM,696.176,28.251,3.332,71.509,62.824,532.262,0,NA,NA,NA,NA,47.259,NA,-999,16.938,11.162
01/01/2024 12:00:00 PM,695.722,28.047,4.717,35.945,69.141,412.122,0,NA,NA,NA,NA,36.872,NA,-999,20.323,11.143
01/01/2024 01:00:00 PM,695.159,28.157,5.439,37.476,69.069,410.752,0,NA,NA,NA,NA,35.268,NA,-999,18.02,10.65
01/01/2024 02:00:00 PM,694.607,28.073,5.385,42.92,69.791,362.58,0,NA,NA,NA,NA,35.976,NA,-999,20.041,13.163
01/01/2024 03:00:00 PM,694.159,28.025,4.858,58.819,69.781,341.893,0,NA,NA,NA,NA,35.853,NA,-999,19.507,13.87
01/01/2024 04:00:00 PM,693.956,27.342,5.121,47.394,72.979,178.35,0,NA,NA,NA,NA,41.552,NA,-999,16.642,11.12
01/01/2024 05:00:00 PM,694.107,26.261,4.548,45.979,78.099,69.519,0,NA,NA,NA,NA,40.006,NA,-999,17.757,11.576
01/01/2024 06:00:00 PM,694.281,25.406,3.914,35.764,82.813,26.518,0,NA,NA,NA,NA,33.744,NA,0.629,15.347,9.181
01/01/2024 07:00:00 PM,694.671,24.871,1.968,19.271,85.097,0,0,NA,NA,NA,NA,29.908,NA,0.736,15.206,8.349
01/01/2024 08:00:00 PM,695.203,24.52,1.197,66.591,86.804,0,0,NA,NA,NA,NA,20.061,NA,1.094,18.822,10.172
01/01/2024 09:00:00 PM,695.684,24.399,0.772,109.113,87.032,0,0,NA,NA,NA,NA,19.782,NA,0.766,18.781,10.049
01/01/2024 10:00:00 PM,696.108,24.236,0.871,91.753,87.466,0,0,NA,NA,NA,NA,9.591,NA,2.605,22.401,11.003
01/01/2024 11:00:00 PM,696.012,24.071,0.841,181.16,86.61,0,0,NA,NA,NA,NA,12.285,NA,-999,21.583,10.03
01/02/2024 12:00:00 AM,695.843,23.6,0.985,67.956,86.628,0,0,NA,NA,NA,NA,-999,NA,0.943,17.54,8.618
01/02/2024 01:00:00 AM,695.438,23.182,1.165,163.8,86.214,0,0,NA,NA,NA,NA,11.19,NA,-999,13.921,7.723
01/02/2024 02:00:00 AM,694.867,23.347,1.616,159.263,80.917,0,0,NA,NA,NA,NA,9.717,NA,3.19,12.674,6.732
01/02/2024 03:00:00 AM,694.629,22.884,1.123,90.079,83.633,0,0,NA,NA,NA,NA,9.945,NA,-999,12.831,6.853
01/02/2024 04:00:00 AM,694.45,22.889,1.647,148.044,75.14,0,0,NA,NA,NA,NA,9.549,NA,3.111,9.637,5.479
01/02/2024 05:00:00 AM,694.496,22.814,2.051,138.371,71.595,0,0,NA,NA,NA,NA,10.278,NA,2.549,9.679,5.033
01/02/2024 06:00:00 AM,694.956,22.609,1.801,152.552,70.673,0,0,NA,NA,NA,NA,7.956,NA,-999,10.563,5.669
01/02/2024 07:00:00 AM,695.411,22.427,1.702,168.666,70.548,5.091,0,NA,NA,NA,NA,6.78,NA,2.133,14.791,6.633
01/02/2024 08:00:00 AM,695.891,22.806,1.342,182.848,69.83,46.883,0,NA,NA,NA,NA,4.224,NA,1.909,18.18,7.07
01/02/2024 09:00:00 AM,696.16,24.589,1.366,299.598,71.14,300.842,0,NA,NA,NA,NA,9.352,NA,-999,21.831,8.718
01/02/2024 10:00:00 AM,696.116,26.277,1.932,59.315,68.835,396.978,0,NA,NA,NA,NA,20.9,NA,-999,26.576,10.744
01/02/2024 11:00:00 AM,695.734,27.179,3.754,45.821,66.755,514.556,0,NA,NA,NA,NA,42.928,NA,2.666,19.41,9.046
01/02/2024 12:00:00 PM,695.273,27.481,4.94,35.389,69.35,481.577,0,NA,NA,NA,NA,42.55,NA,2.107,15.564,7.625
01/02/2024 01:00:00 PM,694.814,27.264,4.007,41.375,71.892,404.856,0,NA,NA,NA,NA,37.206,NA,2.263,16.635,7.665
01/02/2024 02:00:00 PM,694.333,27.287,4.353,31.516,70.721,259.55,0,NA,NA,NA,NA,35.141,NA,2.613,14.371,7.163
01/02/2024 03:00:00 PM,693.988,27.475,4.488,44.361,69.306,300.182,0,NA,NA,NA,NA,33.594,NA,2.929,12.107,6.277
01/02/2024 04:00:00 PM,693.746,28.021,4.225,48.371,66.742,327.152,0,NA,NA,NA,NA,36.686,NA,2.982,11.306,6.192
01/02/2024 05:00:00 PM,693.788,27.839,4.822,35.626,67.288,248.191,0,NA,NA,NA,NA,40.034,NA,-999,11.657,5.983
01/02/2024 06:00:00 PM,694.061,26.714,3.646,36.008,73.505,48.514,0,NA,NA,NA,NA,38.091,NA,2.661,14.208,6.931
01/02/2024 07:00:00 PM,694.268,25.875,1.768,32.222,77.418,0,0,NA,NA,NA,NA,28.659,NA,3.259,18.552,8.022
01/02/2024 08:00:00 PM,694.717,25.317,1.277,65.236,79.986,0,0,NA,NA,NA,NA,12.953,NA,4.297,18.123,8.766
01/02/2024 09:00:00 PM,695.3,24.572,1.258,93.776,82.033,0,0,NA,NA,NA,NA,13.585,NA,-999,23.436,9.724
01/02/2024 10:00:00 PM,695.805,23.962,1.232,153.666,82.096,0,0,NA,NA,NA,NA,12.669,NA,3.787,19.245,8.129
01/02/2024 11:00:00 PM,695.97,23.412,1.34,177.572,82.759,0,0,NA,NA,NA,NA,11.658,NA,3.477,16.513,7.412
01/03/2024 12:00:00 AM,695.912,23.361,1.527,166.016,81.358,0,0,NA,NA,NA,NA,-999,NA,3.27,14.936,6.974
01/03/2024 01:00:00 AM,695.697,23.294,1.538,153.897,79.365,0,2.2,NA,NA,NA,NA,9.85,NA,-999,16.018,7.036
01/03/2024 02:00:00 AM,695.33,22.728,1.529,148.57,80.187,0,0.2,NA,NA,NA,NA,6.675,NA,3.385,15.831,7.017
01/03/2024 03:00:00 AM,694.939,22.848,2.024,176.666,75.441,0,0,NA,NA,NA,NA,8.952,NA,2.786,9.471,5.726
01/03/2024 04:00:00 AM,694.823,22.692,2.099,167.977,72.55,0,0,NA,NA,NA,NA,9.692,NA,-999,9.495,5.357
01/03/2024 05:00:00 AM,695.087,22.422,2.278,175.52,70.79,0,0,NA,NA,NA,NA,10.95,NA,-999,8.713,5.04
01/03/2024 06:00:00 AM,695.446,22.011,1.8,166.505,71.211,0,0,NA,NA,NA,NA,9.485,NA,2.301,9.923,5.239
01/03/2024 07:00:00 AM,696.017,21.598,1.873,160.723,72.038,8.426,0,NA,NA,NA,NA,5.962,NA,-999,13.393,6.156
01/03/2024 08:00:00 AM,696.703,22.161,2.284,168.494,69.35,122.724,0,NA,NA,NA,NA,9.938,NA,2.008,14.827,6.57
01/03/2024 09:00:00 AM,696.934,24.595,1.459,167.417,62.938,303.597,0,NA,NA,NA,NA,13.175,NA,-999,19.898,7.652
01/03/2024 10:00:00 AM,696.662,27.049,1.46,357.235,65.371,480.916,0,NA,NA,NA,NA,32.591,NA,3.841,26.618,12.596
01/03/2024 11:00:00 AM,696.023,29.135,1.656,16.796,59.229,614.671,0,NA,NA,NA,NA,57.284,NA,3.258,23.363,11.561
01/03/2024 12:00:00 PM,695.268,28.703,4.771,25.503,63.753,455.718,0.2,NA,NA,NA,NA,56.465,NA,-999,17.784,9.202
01/03/2024 01:00:00 PM,694.666,28.037,5.21,45.225,69.254,382.816,0,NA,NA,NA,NA,49.779,NA,-999,17.471,9.62
01/03/2024 02:00:00 PM,693.977,28.262,5.248,31.071,68.117,391.338,0,NA,NA,NA,NA,46.072,NA,3.511,15.86,8.525
01/03/2024 03:00:00 PM,693.43,28.696,5.452,37.96,66.952,464.918,0,NA,NA,NA,NA,43.363,NA,3.179,17.471,9.466
01/03/2024 04:00:00 PM,693.267,28.975,4.077,39.432,65.805,342.747,0,NA,NA,NA,NA,43.776,NA,3.218,12.853,7.467
01/03/2024 05:00:00 PM,693.341,28.245,5.045,19.026,67.903,225.684,0,NA,NA,NA,NA,44.906,NA,-999,14.037,7.62
01/03/2024 06:00:00 PM,693.732,27.087,4.093,43.141,74.374,82.738,0,NA,NA,NA,NA,40.684,NA,3.674,15.993,8.447
01/03/2024 07:00:00 PM,694.163,25.993,2.857,44.84,79.957,0.273,0,NA,NA,NA,NA,33.68,NA,4.064,17.801,9.092
01/03/2024 08:00:00 PM,694.663,25.403,1.03,10.978,81.934,0,0,NA,NA,NA,NA,25.084,NA,4.118,22.101,10.102
01/03/2024 09:00:00 PM,695.205,25.415,1.077,4.829,81.24,0,0,NA,NA,NA,NA,11.953,NA,5.5,25.861,12.57
01/03/2024 10:00:00 PM,695.574,25.194,0.881,34.538,80.955,0,0,NA,NA,NA,NA,11.442,NA,-999,29.87,13.238
01/03/2024 11:00:00 PM,695.861,24.741,0.972,160.427,81.77,0,0,NA,NA,NA,NA,7.629,NA,-999,27.02,11.831
01/04/2024 12:00:00 AM,695.806,24.533,1.664,136.139,78.965,0,0,NA,NA,NA,NA,-999,NA,4.833,16.613,8.979
01/04/2024 01:00:00 AM,695.663,24.247,1.652,126.206,76.911,0,0,NA,NA,NA,NA,17.131,NA,-999,13.764,7.835
01/04/2024 02:00:00 AM,695.293,24.079,1.672,161.246,71.435,0,0,NA,NA,NA,NA,17.619,NA,3.035,11.697,6.786
01/04/2024 03:00:00 AM,694.839,23.853,2.39,165.565,66.136,0,0,NA,NA,NA,NA,20.896,NA,-999,9.937,5.799
01/04/2024 04:00:00 AM,694.834,23.356,2.269,137.902,65.669,0,0,NA,NA,NA,NA,21.22,NA,-999,8.938,5.399
01/04/2024 05:00:00 AM,694.963,22.788,2.672,164.835,65.098,0,0,NA,NA,NA,NA,23.704,NA,2.098,9.551,5.309
01/04/2024 06:00:00 AM,695.365,22.119,1.598,166.699,68.174,0,0,NA,NA,NA,NA,11.117,NA,2.346,11.12,5.863
01/04/2024 07:00:00 AM,695.972,21.792,1.608,169.229,69.143,25.101,0,NA,NA,NA,NA,10.696,NA,2.973,15.926,6.794
01/04/2024 08:00:00 AM,696.574,23.021,1.718,161.093,65.236,215.034,0,NA,NA,NA,NA,11.004,NA,-999,26.977,8.331
01/04/2024 09:00:00 AM,696.872,25.722,1.157,136.41,57.702,334.466,0,NA,NA,NA,NA,19.99,NA,2.242,24.901,8.23
01/04/2024 10:00:00 AM,696.809,27,1.659,35.932,61.866,519.402,0,NA,NA,NA,NA,34.143,NA,3.234,24.455,12.171
01/04/2024 11:00:00 AM,696.434,28.533,2.234,24.455,58.326,592.856,0,NA,NA,NA,NA,49.179,NA,-999,15.167,8.993
01/04/2024 12:00:00 PM,696,28.985,3.986,41.346,61.096,534.663,0,NA,NA,NA,NA,58.133,NA,1.914,19.203,10.145
01/04/2024 01:00:00 PM,695.569,28.751,4.918,40.172,66.053,484.219,0,NA,NA,NA,NA,46.049,NA,1.636,17.091,9.033
01/04/2024 02:00:00 PM,694.835,28.937,4.733,47.6,63.769,378.011,0,NA,NA,NA,NA,44.323,NA,-999,15.383,8.664
01/04/2024 03:00:00 PM,694.287,28.897,5.34,31.376,64.262,366.592,0,NA,NA,NA,NA,43.837,NA,2.343,14.822,8.094
01/04/2024 04:00:00 PM,694.112,29.076,4.763,30.003,65.009,317.534,0,NA,NA,NA,NA,46.473,NA,-999,15.375,8.843
01/04/2024 05:00:00 PM,694.29,28.358,5.257,44.821,69,241.811,0,NA,NA,NA,NA,48.137,NA,3.1,15.919,8.62
01/04/2024 06:00:00 PM,694.659,27.349,3.264,35.03,73.023,82.102,0,NA,NA,NA,NA,47.7,NA,3.643,21.465,10.929
01/04/2024 07:00:00 PM,694.878,26.226,1.815,17.689,78.691,0.306,0,NA,NA,NA,NA,38.884,NA,3.763,24.343,13.689
01/04/2024 08:00:00 PM,695.415,25.547,0.808,38.501,81.257,0,0,NA,NA,NA,NA,21.234,NA,5.048,30.544,18.731
01/04/2024 09:00:00 PM,696.027,25.056,0.909,81.923,82.454,0,0,NA,NA,NA,NA,12.888,NA,-999,45.954,25.391
01/04/2024 10:00:00 PM,696.258,24.52,1.098,183.192,82.03,0,0,NA,NA,NA,NA,19.945,NA,4.743,25.222,12.535
01/04/2024 11:00:00 PM,696.219,23.775,1.366,170.677,83.312,0,0,NA,NA,NA,NA,21.435,NA,-999,20.915,10.91
01/05/2024 12:00:00 AM,696.195,23.639,1.373,139.501,80.866,0,0,NA,NA,NA,NA,-999,NA,4.161,17.136,9.729
01/05/2024 01:00:00 AM,695.987,23.933,2.347,147.115,72.536,0,0,NA,NA,NA,NA,22.833,NA,1.047,15.969,8.989
01/05/2024 02:00:00 AM,695.573,23.581,2.499,155.244,68.685,0,0,NA,NA,NA,NA,22.541,NA,0.918,13.339,8.645
01/05/2024 03:00:00 AM,695.243,23.286,2.817,156.272,66.026,0,0,NA,NA,NA,NA,27.352,NA,0.533,13.006,8.145
01/05/2024 04:00:00 AM,695.079,23.032,3.156,155.332,63.196,0,0,NA,NA,NA,NA,30.849,NA,-999,11.919,7.606
01/05/2024 05:00:00 AM,695.245,22.416,2.121,200.763,62.941,0,0,NA,NA,NA,NA,27.43,NA,-999,10.79,7.499
01/05/2024 06:00:00 AM,695.566,21.944,2.53,142.417,63.94,0,0,NA,NA,NA,NA,24.061,NA,0.372,13.266,7.979
01/05/2024 07:00:00 AM,695.954,22.079,2.969,175.845,60.367,18.511,0,NA,NA,NA,NA,24.912,NA,-999,13.883,7.498
01/05/2024 08:00:00 AM,696.526,22.466,1.878,154.24,59.614,117.532,0,NA,NA,NA,NA,20.553,NA,-999,19.621,8.478
01/05/2024 09:00:00 AM,696.921,23.425,1.432,126.699,57.757,168.554,0,NA,NA,NA,NA,24.75,NA,0.499,26.958,9.661
01/05/2024 10:00:00 AM,696.657,26.443,1.188,133.69,54.594,450.692,0,NA,NA,NA,NA,31.176,NA,0.755,30.76,13.639
01/05/2024 11:00:00 AM,696.077,27.247,3.123,212.255,63.317,557.605,0,NA,NA,NA,NA,49.205,NA,0.454,23.348,12.455
01/05/2024 12:00:00 PM,695.428,27.335,3.727,33.118,67.599,383.863,0,NA,NA,NA,NA,49.562,NA,-999,20.71,11.683
01/05/2024 01:00:00 PM,695.015,27.376,4.738,43.076,68.394,414.071,0,NA,NA,NA,NA,49.462,NA,0.782,20.99,11.933
01/05/2024 02:00:00 PM,694.523,27.859,4.576,34.458,66.501,449.193,0,NA,NA,NA,NA,50.438,NA,0.871,18.645,11.247
01/05/2024 03:00:00 PM,693.934,27.691,4.96,32.6,66.935,409.915,0,NA,NA,NA,NA,53.506,NA,-999,17.605,10.868
01/05/2024 04:00:00 PM,693.798,27.762,4.801,37.763,66.535,274.13,0,NA,NA,NA,NA,54.545,NA,1.314,16.797,10.348
01/05/2024 05:00:00 PM,694.116,27.138,4.349,41.121,70.448,206.623,0,NA,NA,NA,NA,50.619,NA,1.604,18.008,10.364
01/05/2024 06:00:00 PM,694.461,26.608,2.999,35.513,72.617,71.13,0,NA,NA,NA,NA,45.843,NA,-999,18.975,10.848
01/05/2024 07:00:00 PM,694.918,25.589,1.085,24.434,76.816,0.128,0,NA,NA,NA,NA,30.655,NA,2.683,25.898,13.706
01/05/2024 08:00:00 PM,695.374,24.947,0.863,85.335,77.524,0,0,NA,NA,NA,NA,19.697,NA,2.943,32.721,15.926
01/05/2024 09:00:00 PM,695.853,24.11,1.52,160.132,78.007,0,0,NA,NA,NA,NA,22.826,NA,2.594,29.401,13.412
01/05/2024 10:00:00 PM,696.015,23.532,1.852,170.789,77.684,0,0,NA,NA,NA,NA,24.44,NA,1.54,22.711,12.256
01/05/2024 11:00:00 PM,695.906,23.264,2.25,159.809,75.951,0,0,NA,NA,NA,NA,25.615,NA,-999,18.172,11.007
01/06/2024 12:00:00 AM,695.752,22.685,1.334,122.394,77.365,0,0,NA,NA,NA,NA,-999,NA,1.812,19.221,11.79
01/06/2024 01:00:00 AM,695.467,22.242,1.384,139.177,76.273,0,0,NA,NA,NA,NA,19.396,NA,-999,16.685,10.88
01/06/2024 02:00:00 AM,694.98,22.362,1.317,232.492,74.154,0,0,NA,NA,NA,NA,18.414,NA,2.751,18.165,11.481
01/06/2024 03:00:00 AM,694.566,21.873,0.907,163.384,77.044,0,0,NA,NA,NA,NA,10.573,NA,5.529,28.018,18.715
01/06/2024 04:00:00 AM,694.491,21.016,0.585,330.976,85.355,0,0,NA,NA,NA,NA,3.926,NA,-999,45.468,27.84
01/06/2024 05:00:00 AM,694.692,20.299,0.807,337.2,88.007,0,0,NA,NA,NA,NA,3.926,NA,16.677,38.071,20.844
01/06/2024 06:00:00 AM,694.862,20.598,0.887,343.528,80.305,0,0,NA,NA,NA,NA,-999,NA,-999,28.83,16.425
01/06/2024 07:00:00 AM,695.223,20.927,0.915,171.078,72.486,14.902,0,NA,NA,NA,NA,7.272,NA,4.807,23.351,13.741
